R;S;G;Q
C;FIORENTINA;CRISTOFORO Sebastian;4
C;BOLOGNA;NAGY Adam;4
C;LECCE;MAJER Zan;4
C;PARMA;DEZI Jacopo;4
C;SAMPDORIA;VIEIRA Ronaldo;4
C;LECCE;HAYE Thom;4
C;ATALANTA;PESSINA Matteo;4
C;BOLOGNA;KREJCI Ladislav;4
C;ROMA;CORIC Ante;4
C;SPAL;VALDIFIORI Mirko;4
C;SPAL;STREFEZZA Gabriel;4
C;SASSUOLO;MAZZITELLI Luca;4
C;TORINO;SEGRE Jacopo;4
C;GENOA;AGUDELO Kevin;3
C;SAMPDORIA;CAPEZZI Leonardo;3
C;GENOA;OMEONGA Stephane;3
C;UDINESE;INGELSSON Svante;3
C;NAPOLI;PALMIERO Luca;3
C;PARMA;MUNARI Gianni;3
C;VERONA;MARRONE Luca;3
C;VERONA;DANZI Andrea;2
C;BOLOGNA;KINGSLEY Michael;2
C;UDINESE;MICIN Petar;2
C;SASSUOLO;SBRISSA Giovanni;2
C;ROMA;D’URSO Christian;2
C;PARMA;KULUSEVSKI Dejan;2
C;LAZIO;ANDERSON Andre;2
C;GENOA;SCHAFER Andras;2
C;UDINESE;SIBO kwasi;1
C;CAGLIARI;CALIGARA Fabrizio;1
C;SPAL;MAWULI Shaka Eklu;1
C;CAGLIARI;BIANCU Roberto;1
C;BRESCIA;VIVIANI Mattia;1
C;FIORENTINA;MEDJA BELOKO Nicky;1
C;INTER;AGOUME Lucien;1
C;GENOA;ZENNARO Mattia;1
C;NAPOLI;GAETANO Gianluca;1
C;SAMPDORIA;POMPETTI Marco;1
C;FIORENTINA;MONTIEL Cristobal;1
C;ROMA;RICCARDI Alessio;1
C;VERONA;LUCAS Martello Nascimento;1
A;JUVENTUS;RONALDO Cristiano;50
A;MILAN;PIATEK Krzysztof;37
A;SAMPDORIA;QUAGLIARELLA Fabio;36
A;LAZIO;IMMOBILE Ciro;36
A;ATALANTA;ZAPATA Duvan;35
A;INTER;LUKAKU Romelu;34
A;NAPOLI;MILIK Arkadiusz;33
A;NAPOLI;MERTENS Dries;32
A;ATALANTA;ILICIC Josip;32
A;NAPOLI;INSIGNE Lorenzo;31
A;TORINO;BELOTTI Andrea;31
A;JUVENTUS;DYBALA Paulo;30
A;PARMA;GERVINHO;28
A;INTER;MARTINEZ Lautaro;28
A;JUVENTUS;HIGUAIN Gonzalo;27
A;ROMA;DZEKO Edin;27
A;CAGLIARI;PAVOLETTI Leonardo;26
A;INTER;ICARDI Mauro Emanuel;25
A;TORINO;IAGO Falque;25
A;BRESCIA;BALOTELLI Mario;25
A;SASSUOLO;CAPUTO Francesco;24
A;SPAL;PETAGNA Andrea;22
A;BOLOGNA;ORSOLINI Riccardo;22
A;LAZIO;CORREA Joaquin;21
A;MILAN;LEAO Rafael;21
A;PARMA;INGLESE Roberto;21
A;JUVENTUS;MANDZUKIC Mario;20
A;SASSUOLO;BERARDI Domenico;20
A;INTER;POLITANO Matteo;19
A;BRESCIA;DONNARUMMA Alfredo;19
A;FIORENTINA;BOATENG Kevin-Prince;19
A;ATALANTA;MURIEL Luis;18
A;UDINESE;NESTOROVSKI Ilija;18
A;MILAN;ANDRE SILVA Miguel Valente;18
A;CAGLIARI;JOAO PEDRO;18
A;FIORENTINA;SIMEONE Giovanni;18
A;ROMA;DEFREL Gregoire;17
A;GENOA;PINAMONTI Andrea;16
A;LAZIO;CAICEDO Felipe;16
A;BOLOGNA;PALACIO Rodrigo;16
A;BOLOGNA;SANTANDER Federico;15
A;BOLOGNA;SANSONE Nicola;15
A;ROMA;SCHICK Patrik;15
A;MILAN;CUTRONE Patrik;15
A;UDINESE;LASAGNA Kevin;15
A;LECCE;FARIAS Diego;15
A;SAMPDORIA;GABBIADINI Manolo;14
A;JUVENTUS;KEAN Moise;14
A;LECCE;LA MANTIA Andrea;14
A;GENOA;KOUAME’ Christian;14
A;SPAL;MONCINI Gabriele;13
A;LECCE;LAPADULA Gianluca;13
A;SPAL;DI FRANCESCO Federico;13
A;SAMPDORIA;CAPRARI Gianluca;13
A;VERONA;DI CARMINE Samuel;13
A;TORINO;ZAZA Simone;13
A;BRESCIA;AYE Florian;13
A;GENOA;SANABRIA Antonio;13
A;SASSUOLO;BOGA Jeremie;13
A;BOLOGNA;DESTRO Mattia;13
A;VERONA;TUTINO Gennaro;12
A;VERONA;PAZZINI Giampaolo;12
A;UDINESE;PUSSETTO Ignacio;12
A;BRESCIA;TORREGROSSA Ernesto;12
A;PARMA;KARAMOH Yann;12
A;SPAL;FLOCCARI Sergio;11
A;BOLOGNA;SKOV OLSEN Andreas;11
A;SASSUOLO;BABACAR Khouma;11
A;GENOA;GUMUS Sinan;11
A;CAGLIARI;HAN Kwang Song;11
A;PARMA;CORNELIUS Andreas;10
A;ATALANTA;BARROW Musa;10
A;UDINESE;TEODORCZYK Lukasz;10
A;LECCE;FALCO Filippo;10
A;NAPOLI;OUNAS Adam;10
A;SPAL;PALOSCHI Alberto;9
A;FIORENTINA;THEREAU Cyril;9
A;JUVENTUS;PJACA Marko;8
A;GENOA;FAVILLI Andrea;8
A;CAGLIARI;CERRI Alberto;8
A;INTER;PUSCAS George;8
A;PARMA;CERAVOLO Fabio;7
A;BOLOGNA;FALCINELLI Diego;7
A;SASSUOLO;MATRI Alessandro;7
A;BRESCIA;MOROSINI Leonardo;7
A;SAMPDORIA;BONAZZOLI Federico;7
A;UDINESE;PERICA Stipe;7
A;VERONA;DI GAUDIO Antonio;7
A;SASSUOLO;BRIGNOLA Enrico;7
A;UDINESE;GONZALEZ Cristo;6
A;PARMA;SPROCATI Mattia;6
A;BOLOGNA;FALLETTI Cesar;6
A;CAGLIARI;DESPODOV Kiril;6
A;UDINESE;MATOS Ryder Santos;6
A;UDINESE;STUPAREVIC Filip;5
A;TORINO;PARIGINI Vittorio;5
A;SPAL;JANKOVIC Marko;5
A;VERONA;RAGUSA Antonino;5
A;TORINO;EDERA Simone;5
A;NAPOLI;VINICIUS Morais;5
A;PARMA;SILIGARDI Luca;5
A;SASSUOLO;PIERINI Nicholas;5
A;FIORENTINA;BAEZ Jaime;4
A;VERONA;LEE Seung-Woo;4
A;FIORENTINA;VLAHOVIC Dusan;4
A;PARMA;BARAYE Yves;3
A;LECCE;LO FASO Simone;3
A;INTER;LONGO Samuele;3
A;UDINESE;MALLE’ Aly;3
A;ATALANTA;PICCOLI Roberto;3
A;CAGLIARI;RAGATZU Daniele;3
A;FIORENTINA;SOTTIL Riccardo;3
A;ROMA;ANTONUCCI Mirko;2
A;VERONA;TUPTA Lubomir;2
A;TORINO;MILLICO Vincenzo;2
A;PARMA;BRUNORI SANDRI Matteo;2
A;PARMA;ADORANTE Andrea;1
A;SASSUOLO;RASPADORI Giacomo;1
A;LAZIO;BOBBY Adekanye;1
A;INTER;COLIDIO Facundo;1
A;SASSUOLO;KOLAJ Aristidi;1
A;LECCE;DUBICKAS Edgaras;1
A;BOLOGNA;JUWARA Musa;1
A;INTER;ESPOSITO Sebastiano;1
A;VERONA;TRAORE Abdoulaye;1
