R;S;G;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
C;MILAN;BONAVENTURA Giacomo;5;19;6.32;6.68;3;0;3;0;0;0;0;0
C;FIORENTINA;BORJA VALERO Iglesias;5;30;6.23;6.42;1;6;5;0;0;0;0;0
C;PALERMO;BOUY Ouasim;1;1;5.5;5;0;0;1;0;0;0;0;0
C;INTER;BROZOVIC Marcelo;3;23;5.78;6.2;4;1;7;0;0;0;0;0
C;PESCARA;BRUGMAN Gaston;3;25;5.82;5.85;1;1;7;0;0;0;0;0
C;PESCARA;BRUNO Alessandro;3;13;5.5;5.39;0;0;5;0;0;0;0;0
C;EMPOLI;BUCHEL Marcel;3;12;5.62;5.46;0;0;5;0;0;0;0;0
C;ATALANTA;CABEZAS Bryan;5;1;6;6;0;0;0;0;0;0;0;0
C;INTER;CANDREVA Antonio;4;37;5.96;6.58;6;9;2;0;0;0;1;0
C;CROTONE;CAPEZZI Leonardo;4;20;5.9;5.74;0;0;5;1;0;0;0;0
C;ATALANTA;CARMONA Carlos E.;1;2;4.75;4;0;0;1;1;0;0;0;0
C;CHIEVO;CASTRO Lucas;4;33;6.17;6.64;5;4;5;1;0;0;0;0
C;GENOA;CATALDI Danilo;3;23;5.7;5.7;1;1;8;0;0;0;0;0
C;PALERMO;CHOCHEV Ivaylo;4;29;5.78;6.09;3;2;4;0;0;0;0;0
C;SAMPDORIA;CIGARINI Luca;3;4;5.88;5.5;0;0;3;0;0;0;0;0
C;GENOA;COFIE Isaac;4;12;5.88;5.77;0;1;5;0;0;0;0;0
C;PESCARA;COULIBALY Mamadou;3;7;5.86;5.57;0;0;4;0;0;0;0;0
C;LAZIO;CRECCO Luca;3;2;6.25;7.75;1;0;0;0;0;0;0;0
C;CROTONE;CRISETIG Lorenzo;3;30;5.85;5.68;0;1;11;1;0;0;0;0
C;ATALANTA;CRISTANTE Bryan;4;24;5.92;6.32;3;2;2;0;0;0;0;0
C;FIORENTINA;CRISTOFORO Sebastian;4;13;5.81;5.83;0;0;1;0;0;0;0;0
C;EMPOLI;CROCE Daniele;4;35;6.14;6.17;1;0;4;0;0;0;0;0
C;JUVENTUS;CUADRADO Juan;4;30;6.18;6.44;2;6;8;0;0;0;0;0
C;ATALANTA;D’ALESSANDRO Marco;4;17;6;6.18;1;1;2;0;0;0;0;0
C;CHIEVO;DE GUZMAN Jonathan;4;22;5.91;6.16;2;1;3;0;0;0;0;0
C;UDINESE;DE PAUL Rodrigo;3;33;5.83;6.09;4;1;7;1;0;0;0;0
C;ROMA;DE ROSSI Daniele;4;28;6.12;6.5;4;3;9;0;0;0;0;0
C;CAGLIARI;DEIOLA Alessandro;2;3;5.83;5.5;0;0;2;0;0;0;0;0
C;CHIEVO;DEPAOLI Fabio;4;5;6;5.9;0;1;1;1;0;0;0;0
C;CAGLIARI;DESSENA Daniele;3;16;5.69;5.88;2;0;4;1;0;0;0;0
C;BOLOGNA;DI FRANCESCO Federico;4;17;6.06;6.66;4;2;3;1;0;0;0;0
C;CAGLIARI;DI GENNARO Davide;4;20;5.98;6.28;2;3;4;1;0;0;0;0
C;PALERMO;DIAMANTI Alessandro;3;28;5.91;5.98;1;4;8;1;0;0;0;0
C;NAPOLI;DIAWARA Amadou;5;18;6.14;6.11;0;0;1;0;0;0;0;0
C;EMPOLI;DIOUSSE’ Assane;2;33;5.79;5.59;0;0;13;0;0;0;0;0
C;BOLOGNA;DONSAH Godfred;2;13;5.65;5.75;0;2;2;0;0;0;0;0
C;SASSUOLO;DUNCAN Joseph Alfred;4;19;6.03;6.08;1;0;4;0;0;0;0;0
C;BOLOGNA;DZEMAILI Blerim;4;30;6.15;6.81;8;2;9;1;0;0;0;0
C;EMPOLI;EL KADDOURI Omar;4;15;6.03;6.53;3;1;5;0;0;0;0;0
